date,change,changeOverTime,changePercent,close,high,label,low,open,unadjustedVolume,volume,vwap
2013-11-05,-0.25,-0.06563307493540042,-0.197,126.56,126.86,"Nov 5, 13",126.0,126.71,4941334,4941334,126.448
2013-11-06,0.64,-0.060908084163898014,0.506,127.2,127.36,"Nov 6, 13",126.92,127.11,3540263,3540263,129.5255
2013-11-07,-1.04,-0.06858619416758946,-0.818,126.16,126.85,"Nov 7, 13",125.86,126.14,7700072,7700072,126.5456
2013-11-08,-1.881,-0.08247323735695823,-1.491,124.279,124.46,"Nov 8, 13",123.62,124.46,8410721,8410721,124.169
2013-11-11,-0.409,-0.08549280177187144,-0.329,123.87,123.97,"Nov 11, 13",123.66,123.92,3252491,3252491,123.7996
2013-11-12,-1.42,-0.09597637504614238,-1.146,122.45,123.87,"Nov 12, 13",121.7256,123.51,7694324,7694324,122.8354
2013-11-13,0.4,-0.09302325581395346,0.327,122.85,123.24,"Nov 13, 13",122.39,122.97,5943228,5943228,123.0883
2013-11-14,1.42,-0.0825396825396825,1.156,124.27,124.91,"Nov 14, 13",123.88,123.92,7652117,7652117,124.3208
2013-11-15,0.05,-0.08217054263565889,0.04,124.32,124.52,"Nov 15, 13",124.07,124.16,4664240,4664240,124.3222
2013-11-18,-1.42,-0.09265411590992975,-1.142,122.9,123.96,"Nov 18, 13",122.55,123.7,6241279,6241279,123.2788
2013-11-19,0.05,-0.09228497600590614,0.041,122.95,123.4,"Nov 19, 13",122.83,122.97,3666451,3666451,123.0514
2013-11-20,-2.83,-0.1131782945736433,-2.302,120.12,122.44,"Nov 20, 13",119.76,121.67,14281010,14281010,121.357
2013-11-21,-0.18,-0.11450719822812841,-0.15,119.94,120.35,"Nov 21, 13",119.31,119.81,7562937,7562937,119.8384
2013-11-22,-0.02,-0.11465485418973782,-0.017,119.92,120.4,"Nov 22, 13",119.82,120.24,6776461,6776461,120.0819
2013-11-25,0.54,-0.11066814322628274,0.45,120.46,121.0,"Nov 25, 13",119.13,119.23,7271846,7271846,119.9739
